Strata,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
Age 60+ Male,-0.113374424,0.043054621,0.892816306,0.82056555,0.971429,-0.82557816,0.3236786,0.920758202,0.864158722,0.981065,0.017178963,0.004896354,1.245940575,1.101916567,1.408789,-0.013016008,0.004848713,0.91887604,0.863832275,0.977427
All: LAG 4,-0.060480294,0.023147099,0.941312318,0.899560824,0.985002,-0.4179163,0.1802622,0.959069601,0.925775957,0.993561,0.01060298,0.002710479,1.145359022,1.07006313,1.225953,-0.000922911,0.002768642,0.994019036,0.959568648,1.029706
Female,-0.03788457,0.02523346,0.962824073,0.916363507,1.011640,-0.3160107,0.1953809,0.968893025,0.932491049,1.006716,0.00930441,0.002940163,1.12647856,1.046376913,1.212712,0.001104713,0.003008523,1.007206477,0.969332151,1.046561
Male,-0.08605261,0.02662716,0.917545958,0.870888048,0.966704,-0.53458291,0.20853711,0.947945478,0.909980995,0.987494,0.012134259,0.003140744,1.168029937,1.079527591,1.263788,-0.003259358,0.003195312,0.979037016,0.939982424,1.019714
Warm All,-0.007766225,0.021590283,0.992263854,0.951150305,1.035155,0.53468155,0.24549091,1.054923397,1.005366284,1.106923,-0.00067848,0.002384343,0.991353058,0.933790714,1.052464,-0.003432419,0.003234074,0.97793632,0.938462082,1.019071
Warm Female,0.02836819,0.02732813,1.028774399,0.975119799,1.085381,0.65916992,0.31397412,1.068138049,1.004387662,1.135935,0.001127905,0.002998147,1.014541903,0.941029935,1.093797,-0.000778337,0.004135318,0.994953586,0.943892363,1.048777
Warm Male,-0.04570329,0.0276024,0.955325375,0.905014789,1.008433,0.4282747,0.3105406,1.0437578,0.982123232,1.109260,-0.002701215,0.003070895,0.966015353,0.894385699,1.043382,-0.006060985,0.004093054,0.961369544,0.912523071,1.012831
Cold All,-0.07166708,0.023615985,0.93084074,0.888736569,0.974940,-0.560001228,0.171150323,0.94553902,0.914346583,0.977796,0.01560255,0.002806617,1.221051826,1.138031747,1.310128,-0.000691971,0.002681014,0.995512289,0.9620836,1.030102
Cold Female,-0.04906785,0.02475049,0.952116526,0.907030855,0.999443,-0.43802685,0.17849897,0.957142797,0.924235395,0.991222,0.01277523,0.002925182,1.177652375,1.094323077,1.267327,0.001519069,0.002800713,1.009922857,0.974523023,1.046609
Cold Male,-0.097374651,0.026378678,0.907216053,0.861502897,0.955355,-0.70215819,0.192115135,0.932192613,0.89774395,0.967963,0.01903192,0.003165443,1.275844836,1.178442843,1.381297,-0.003248567,0.003005275,0.97910569,0.942327039,1.017320
